Seq,Year,Region,myVar,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D
178,2002,Prairie,1.261348485,0.791833316,1.601249512,5.83575188,6.051446108,2.02220528,0.0062,0.0032,0.003
179,2002,Prairie,1.144115379,0.882609767,1.662227421,5.931525942,6.160032467,1.883309571,0.0062,0.0032,0.003
180,2002,Prairie,1.496328841,1.007472084,1.749857137,5.579784942,5.847734604,1.736879031,0.0062,0.0032,0.003
181,2002,Alvar,1.126942767,0.841427359,1.56556699,6.739510368,6.918959459,1.860608612,0.0061,0.0032,0.0029
182,2002,Alvar,1.33041347,0.914330356,1.608415369,6.549122079,6.743737836,1.759118418,0.0061,0.0032,0.0029
183,2002,Alvar,1.324009063,0.979285454,1.673320053,6.388896618,6.604392478,1.708715315,0.0061,0.0032,0.0029
184,2002,Alvar,1.326272973,0.956556323,1.651060265,6.536818798,6.742106496,1.726046052,0.0061,0.0032,0.0029
185,2002,Alvar,1.278671185,0.929516003,1.549516053,6.406637183,6.591357978,1.667013853,0.0061,0.0032,0.0029
186,2002,Alvar,1.56332978,1.082127534,1.795550055,7.214429984,7.434514107,1.659277671,0.0058,0.0032,0.0026
187,2002,Alvar,1.065833008,0.704982269,1.645296326,5.463332316,5.705698905,2.333812349,0.0058,0.0032,0.0026
188,2002,Alvar,0.702851336,0.583952053,1.255786606,5.501454353,5.642960216,2.15049609,0.0058,0.0032,0.0026
189,2002,Alvar,1.707629936,1.169615321,1.735799528,6.847043157,7.063639289,1.484077282,0.0058,0.0032,0.0026
190,2002,Alvar,1.534275073,1.069111781,1.751570724,6.823928487,7.045140169,1.638341991,0.0058,0.0032,0.0026
191,2002,Alvar,1.19707978,0.873498712,1.473770674,7.181712888,7.33137095,1.687204175,0.0066,0.0031,0.0035
192,2002,Alvar,1.339402852,0.908845421,1.703525756,7.577334624,7.766466378,1.874384483,0.0066,0.0031,0.0035
193,2002,Alvar,1.235718415,0.92736185,1.635542723,7.13063812,7.315804809,1.763651075,0.0066,0.0031,0.0035
194,2002,Alvar,0.991967741,0.930053762,1.358307771,6.658152897,6.795292488,1.460461563,0.0066,0.0031,0.0035
195,2002,Alvar,1.245391505,0.949210198,1.603433815,6.891951828,7.076015828,1.689229444,0.0066,0.0031,0.0035
196,2002,Alvar,1.37658999,1.010940156,1.526761278,6.583767918,6.75847616,1.510239027,0.0064,0.0031,0.0033
197,2002,Alvar,1.228006515,0.81670068,1.357571361,6.869061071,7.001928306,1.662263048,0.0064,0.0031,0.0033
198,2002,Alvar,1.306139349,1.079814799,1.347590442,6.82297589,6.954782527,1.247982935,0.0064,0.0031,0.0033
199,2002,Alvar,1.234908904,0.884872872,1.307287268,6.743663693,6.86920665,1.477372975,0.0064,0.0031,0.0033
200,2002,Alvar,1.343130671,0.935948717,1.363084737,6.540030581,6.680568838,1.456366906,0.0064,0.0031,0.0033
201,2002,Alvar,1.589024858,0.992975327,1.759829537,7.277430865,7.487189059,1.772279219,0.0064,0.0031,0.0033
202,2002,Alvar,1.591540135,1.023718711,1.713767779,7.456876021,7.651274404,1.674061204,0.0064,0.0031,0.0033
203,2002,Alvar,1.398213145,1.10770032,1.752712184,6.71602561,6.940965351,1.582298165,0.0064,0.0031,0.0033
204,2002,Alvar,1.594365077,0.911592014,1.810248602,6.605527988,6.84908753,1.985810071,0.0064,0.0031,0.0033
205,2002,Alvar,1.414920492,0.907193474,1.58965405,6.026939522,6.233057035,1.752276769,0.0064,0.0031,0.0033
206,2002,Alvar,1.677200048,1.045466403,1.843095223,7.337097519,7.565051223,1.762940652,0.0063,0.0031,0.0032
207,2002,Alvar,1.616477652,1.052140675,1.794157184,7.410600515,7.624696715,1.70524458,0.0063,0.0031,0.0032
208,2002,Alvar,1.864939677,1.166619047,1.929507709,8.036106022,8.264502405,1.653931259,0.0063,0.0031,0.0032
